age;count
;437
86;11
33;9
39;9
12;8
68;8
47;8
62;7
22;7
66;7
24;7
50;7
57;7
95;7
67;7
45;7
100;7
42;6
81;6
15;6
27;6
16;6
36;6
74;6
4;6
56;6
90;6
43;6
13;6
89;6
32;5
49;5
38;5
71;5
64;5
9;5
96;5
44;5
41;5
29;5
1;5
48;5
77;5
78;5
75;5
34;5
61;4
63;4
35;4
73;4
8;4
6;4
97;4
91;4
59;4
99;4
82;4
40;4
18;4
72;3
80;3
3;3
55;3
5;3
85;3
83;3
0;3
25;3
60;3
84;3
51;3
7;3
30;3
21;3
20;3
23;3
10;3
88;3
54;3
94;3
14;3
2;3
26;3
70;2
52;2
98;2
87;2
76;2
93;2
69;2
11;2
19;2
46;2
28;2
92;2
58;2
53;1
31;1
17;1
65;1
79;1
37;1
